sbd, toan, ngu_van, ngoai_ngu, vat_li, hoa_hoc, sinh_hoc, lich_su, dia_li, gdcd, ma_nn
01000236,7.8,9.25,9.2,,,,8.5,9,9.25,N1
01000916
01000644,5.4,8.5,8,,,,5.5,6.5,7.25,N4
01000251,,9.25,5.6,,,,8.5,8.75,9.5,N1
01000522,8.2,9,7.6,,,,5.5,6.75,8.25,N1
01000523,6.2,9.25,7.2,,,,8,7.25,7.75,N1
01000252,8.2,9,8.8,7.75,4.25,5.25,,,,N1
01000524,7.6,8.75,9,,,,9,8.25,8.5,N1
01000388
01000002,8.6,8.5,7.2,,,,7.25,6,8,N1
01000387
01000796,7,8.25,8.4,,,,7.25,7.25,8.75,N1
01000659,5,8.25,8.2,,,,7.25,6.75,7.75,N1
01000116,8.4,7.75,8.2,,,,7.5,7.25,8,N1
01000660,6.6,9.5,9.2,,,,6.75,6,6.75,N1
01000795
01000115,8.2,9,8,,,,7.25,8.75,8.75,N1
01000646,9,9,8.4,,,,8,8.5,8.75,N4
01000518
01000658
01000253,8.4,8.25,8.8,,,,8,7.5,8.75,N1
01000117
01000389
01000932
01000931
01000118,8,9.25,7.2,,,,6.5,7,8,N1
01000661,8.6,9,7.6,7,3.5,4.5,,,,N1
01000797,7.6,8.75,9.6,,,,5.5,7.25,9.25,N1
01000000
01000525,8,9.25,9.4,,,,7,8,8.5,N1
01000933
01000390
01000254,8.2,8.5,9.2,,,,9.25,9.25,9.5,N1
01000663,7.4,9.25,8.2,,,,6.25,7,8.5,N1
01000526,8,9.5,8.6,,,,7.75,7.5,8.5,N1
01000798,4.8,8,8,,,,5.75,7.25,8.5,N1
01000662,7.4,9.5,9.4,,,,7.5,7.25,8,N1
01000256,8.6,9,8.8,,,,9.5,9.75,8.75,N1
01000391
01000934
01000255,6.2,9.25,7,,,,6.25,7.25,8,N1
01000528,7,8.5,7.8,,,,6,7,7.75,N1
01000664,4.4,6.25,3,,,,5.25,5.5,6.5,N1
01000799
01000392
01000257
01000121,5.6,8.25,8,,,,7.75,8.75,8.5,N1
01000119,7.8,9.5,10,,,,7.5,9,9,N1
01000936
